CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
20334,ACC,03210,  1,"Full Term ... 
18-JAN to 06-MAY",Day,PRINCIPLES OF ACCTG I,"Redding, Maurice Howland",TR      1530 1645 BUSN 221 (Class),Main,,3,35,0,0,35,0,0,0,0,40
20337,ACC,03210,  2,"Full Term ... 
18-JAN to 06-MAY",Day,"PRINCIPLES OF ACCTG I RCOB and Pre-Business students only.
","Lin, Tony",TR      1530 1645 BUSN 121 (Class),Main,,3,35,0,0,36,-1,0,0,0,40
20336,ACC,03210,  3,"Full Term ... 
18-JAN to 06-MAY",Day,"PRINCIPLES OF ACCTG I RCOB and Pre-Business students only.
","Lin, Tony",TR      1230 1345 BUSN 131 (Class),Main,,3,35,0,0,37,-2,0,0,0,40
20335,ACC,03210,  4,"Full Term ... 
18-JAN to 06-MAY",Day,PRINCIPLES OF ACCTG I,"Redding, Maurice Howland",TR      1230 1345 BUSN 201 (Class),Main,,3,35,0,0,36,-1,0,0,0,40
20333,ACC,03210,  5,"Full Term ... 
18-JAN to 06-MAY",Evening,PRINCIPLES OF ACCTG I,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
20331,ACC,03210,  6,"Full Term ... 
18-JAN to 06-MAY",Online,PRINCIPLES OF ACCTG I,"O'Connor, John J", ,Online,,3,35,0,0,34,1,0,0,0,
20332,ACC,03210,  7,"Full Term ... 
18-JAN to 06-MAY",Evening,PRINCIPLES OF ACCTG I,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
25548,ACC,03210,  8,"Full Term ... 
18-JAN to 06-MAY",Day,PRINCIPLES OF ACCTG I,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
20325,ACC,03211,  1,"Full Term ... 
18-JAN to 06-MAY",Day,"PRINCIPLES OF ACCTG II Accounting and Finance majors only.
",STAFF,,Main,,3,0,0,0,0,0,0,0,0,
20326,ACC,03211,  2,"Full Term ... 
18-JAN to 06-MAY",Day,"PRINCIPLES OF ACCTG II RCOB students only.
","McFarland, Daniel J.",MW      0800 0915 BUSN 107 (Class),Main,,3,35,0,0,34,1,0,0,0,40
20327,ACC,03211,  3,"Full Term ... 
18-JAN to 06-MAY",Day,"PRINCIPLES OF ACCTG II RCOB students only.
","Hughes, Diane",MW      0930 1045 BUSN 131 (Class),Main,,3,35,0,0,20,15,0,0,0,40
20328,ACC,03211,  4,"Full Term ... 
18-JAN to 06-MAY",Day,"PRINCIPLES OF ACCTG II RCOB students only.
","McFarland, Daniel J.",MW      1400 1515 BUSN 107 (Class),Main,,3,35,0,0,35,0,0,0,0,40
20329,ACC,03211,  5,"Full Term ... 
18-JAN to 06-MAY",Day,"PRINCIPLES OF ACCTG II RCOB students only.
","Papakroni, Erlina",MW      1530 1645 BUSN 101 (Class),Main,,3,35,0,0,33,2,0,0,0,40
20323,ACC,03211,  6,"Full Term ... 
18-JAN to 06-MAY",Evening,PRINCIPLES OF ACCTG II,"McConnon, Joan","W       1830 1945 BUSN 235 (Class)
W       2000 2115 BUSN 235 (Class)",Main,,3,35,0,0,16,19,0,0,0,40
20324,ACC,03211,  7,"Full Term ... 
18-JAN to 06-MAY",Day,PRINCIPLES OF ACCTG II,"Li, Pei",TR      1100 1215 BUSN 101 (Class),Main,,3,35,0,0,35,0,0,0,0,40
20322,ACC,03211,  8,"Full Term ... 
18-JAN to 06-MAY",Evening,PRINCIPLES OF ACCTG II,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
20330,ACC,03211,  9,"Full Term ... 
18-JAN to 06-MAY",Online,"PRINCIPLES OF ACCTG II RCOB students only.
","Zhang, Mei", ,Online,,3,35,0,0,35,0,0,0,0,
20321,ACC,03211, 10,"Full Term ... 
18-JAN to 06-MAY",Evening,PRINCIPLES OF ACCTG II,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
25749,ACC,03211, 11,"Full Term ... 
18-JAN to 06-MAY",Online,PRINCIPLES OF ACCTG II,"Hughes, Diane", ,Online,,3,32,0,0,31,1,0,0,0,
20315,ACC,03300,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,"SUPERVISED INTERNSHIP ACCT Requires permission of instructor to enroll.
","Gubbine, Sandra Jones",T       1700 1815 BUSN 121 (Class),Main,,3,0,0,0,5,-5,0,0,0,40*
20316,ACC,03301,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ACCOUNTING ANALYTICS,"McFarland, Daniel J.",MW      1230 1345 BUSN 107 (Class),Main,,3,32,0,0,32,0,0,0,0,40
20317,ACC,03310,  1,"Full Term ... 
18-JAN to 06-MAY",Day,INTERMEDIATE ACCTG I,"Omar, Ayishat",MW      1230 1345 BUSN 131 (Class),Main,,3,32,0,0,32,0,0,0,0,40
20318,ACC,03310,  2,"Full Term ... 
18-JAN to 06-MAY",Evening,INTERMEDIATE ACCTG I,"Van Hook, Andrew P.","M       1830 1945 BUSN 103 (Class)
M       2000 2115 BUSN 103 (Class)",Main,,3,32,0,0,29,3,0,0,0,40
20319,ACC,03310,  3,"Full Term ... 
18-JAN to 06-MAY",Day,INTERMEDIATE ACCTG I,"Sacchetta, Robert J.",TR      1230 1345 BUSN 101 (Class),Main,,3,32,0,0,27,5,0,0,0,40
20308,ACC,03311,  1,"Full Term ... 
18-JAN to 06-MAY",Day,INTERMEDIATE ACCTG II,"Omar, Ayishat",MW      0930 1045 BUSN 103 (Class),Main,,3,32,0,0,31,1,0,0,0,40
20309,ACC,03311,  2,"Full Term ... 
18-JAN to 06-MAY",Day,INTERMEDIATE ACCTG II,"Omar, Ayishat",MW      1400 1515 BUSN 131 (Class),Main,,3,32,0,0,32,0,0,0,0,40
20310,ACC,03311,  3,"Full Term ... 
18-JAN to 06-MAY",Evening,INTERMEDIATE ACCTG II,"Sacchetta, Robert J.",TR      1700 1815 BUSN 101 (Class),Main,,3,32,0,0,26,6,0,0,0,40
20311,ACC,03311,  4,"Full Term ... 
18-JAN to 06-MAY",Day,INTERMEDIATE ACCTG II,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
20312,ACC,03320,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ACCTG INFO SYSTEMS,"Li, Pei","T       1400 1515 BUSN 107 (Class)
R       1400 1515 BUSN 303 (Class)",Main,,3,24,0,0,26,-2,0,0,0,40
20313,ACC,03320,  2,"Full Term ... 
18-JAN to 06-MAY",Day,ACCTG INFO SYSTEMS,"Li, Pei","T       1530 1645 BUSN 107 (Class)
R       1530 1645 BUSN 103 (Class)",Main,,3,24,0,0,24,0,0,0,0,40
20314,ACC,03320,  3,"Full Term ... 
18-JAN to 06-MAY",Evening,ACCTG INFO SYSTEMS,"Slevenski, Matthew Michael","M       1830 1945 BUSN 107 (Class)
M       2000 2115 BUSN 107 (Class)",Main,,3,24,0,0,23,1,0,0,0,40
20297,ACC,03326,  1,"Full Term ... 
18-JAN to 06-MAY",Day,COST ACCOUNTING,"Papakroni, Erlina",MW      0930 1045 BUSN 121 (Class),Main,,3,32,0,0,29,3,0,0,0,40
20298,ACC,03326,  2,"Full Term ... 
18-JAN to 06-MAY",Day,COST ACCOUNTING,"Papakroni, Erlina",MW      0800 0915 BUSN 121 (Class),Main,,3,32,0,0,13,19,0,0,0,40
20300,ACC,03405,  1,"Full Term ... 
18-JAN to 06-MAY",Day,FOUNDATIONS OF ACCTG,"McGrath, William Patrick",MW      0930 1045 BUSN 101 (Class),Main,,3,32,0,0,31,1,0,0,0,40
20301,ACC,03410,  1,"Full Term ... 
18-JAN to 06-MAY",Day,AUDITING,"Lysak, Amy Kristin",TR      0930 1045 BUSN 103 (Class),Main,,3,32,0,0,33,-1,0,0,0,40
20302,ACC,03410,  2,"Full Term ... 
18-JAN to 06-MAY",Day,AUDITING,"Lysak, Amy Kristin","T       1400 1515 BUSN 303 (Class)
R       1400 1515 BUSN 103 (Class)",Main,,3,32,0,0,31,1,0,0,0,40
20304,ACC,03411,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ADV AUDITING AND ANALYTICS,"Lysak, Amy Kristin",TR      1230 1345 BUSN 107 (Class),Main,,3,32,0,0,14,18,0,0,0,40
20305,ACC,03416,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ADV ACCOUNTING,"Scarpa, Robert F",TR      0930 1045 BUSN 121 (Class),Main,,3,32,0,0,15,17,0,0,0,40
20306,ACC,03416,  2,"Full Term ... 
18-JAN to 06-MAY",Day,ADV ACCOUNTING,"Scarpa, Robert F",TR      1100 1215 BUSN 121 (Class),Main,,3,32,0,0,32,0,0,0,0,40
20307,ACC,03419,  1,"Full Term ... 
18-JAN to 06-MAY",Day,FORENSIC ACCTG FRAUD INVESTIGA,"Honer, Joseph S",MW      0930 1045 BUSN 107 (Class),Main,,3,32,0,0,13,19,0,0,0,40
20290,ACC,03425,  1,"Full Term ... 
18-JAN to 06-MAY",Day,INTERNATIONAL ACCOUNTING,"Zhang, Mei",TR      1400 1515 BUSN 101 (Class),Main,,3,32,0,0,32,0,0,0,0,40
20291,ACC,03425,  2,"Full Term ... 
18-JAN to 06-MAY",Day,INTERNATIONAL ACCOUNTING,"Zhang, Mei",TR      0930 1045 BUSN 101 (Class),Main,,3,32,0,0,31,1,0,0,0,40
20292,ACC,03425,  3,"Full Term ... 
18-JAN to 06-MAY",Evening,INTERNATIONAL ACCOUNTING,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
20293,ACC,03428,  1,"Full Term ... 
18-JAN to 06-MAY",Day,INTEGRATIVE ACCT SEMINAR,"Sagedy, Robert Andrew",MW      1230 1345 BUSN 101 (Class),Main,,3,24,0,0,23,1,0,0,0,40
20294,ACC,03428,  2,"Full Term ... 
18-JAN to 06-MAY",Day,INTEGRATIVE ACCT SEMINAR,"Sagedy, Robert Andrew",MW      1400 1515 BUSN 101 (Class),Main,,3,24,0,0,22,2,0,0,0,40
20295,ACC,03428,  3,"Full Term ... 
18-JAN to 06-MAY",Evening,INTEGRATIVE ACCT SEMINAR,"Sagedy, Robert Andrew",TR      1700 1815 BUSN 131 (Class),Main,,3,24,0,0,23,1,0,0,0,40
20296,ACC,03428,  4,"Full Term ... 
18-JAN to 06-MAY",Evening,INTEGRATIVE ACCT SEMINAR,"Sagedy, Robert Andrew","R       1830 1945 BUSN 121 (Class)
R       2000 2115 BUSN 121 (Class)",Main,,3,24,0,0,16,8,0,0,0,40
