CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
44232,ACC,03150,  1,"Full Term ... 
06-SEP to 21-DEC",Day,"INTRO BUS/ANALYTCS FIN INFOFirst-time undergraduate students only.
",STAFF,MW      1230 1345 BUSN 121 (Class),Main,,3,20,0,0,0,20,0,0,0,40
44234,ACC,03150,  2,"Full Term ... 
06-SEP to 21-DEC",Evening,"INTRO BUS/ANALYTCS FIN INFOFirst-time undergraduate students only.
",STAFF,"M       1830 1945 BUSN 103 (Class)
M       2000 2115 BUSN 103 (Class)",Main,,3,20,0,0,0,20,0,0,0,40
44235,ACC,03150,  3,"Full Term ... 
06-SEP to 21-DEC",Day,"INTRO BUS/ANALYTCS FIN INFOFirst-time undergraduate students only.
","Lin, Tony",TR      0930 1045 BUSN 101 (Class),Main,,3,20,0,0,0,20,0,0,0,40
44236,ACC,03150,  4,"Full Term ... 
06-SEP to 21-DEC",Day,"INTRO BUS/ANALYTCS FIN INFOFirst-time undergraduate students only.
","Lin, Tony",TR      1100 1215 BUSN 103 (Class),Main,,3,20,0,0,0,20,0,0,0,40
44237,ACC,03150,  5,"Full Term ... 
06-SEP to 21-DEC",Day,"INTRO BUS/ANALYTCS FIN INFOFirst-time undergraduate students only.
","Lin, Tony",TR      1530 1645 BUSN 131 (Class),Main,,3,20,0,0,0,20,0,0,0,40
44238,ACC,03150,  6,"Full Term ... 
06-SEP to 21-DEC",Evening,"INTRO BUS/ANALYTCS FIN INFOFirst-time undergraduate students only.
","Slevenski, Matthew Michael","R       1830 1945 BUSN 101 (Class)
R       2000 2115 BUSN 101 (Class)",Main,,3,20,0,0,0,20,0,0,0,40
44097,ACC,03210,  1,"Full Term ... 
06-SEP to 21-DEC",Day,PRINCIPLES OF ACCTG I,"Hughes, Diane",MW      0800 0915 BUSN 121 (Class),Main,,3,35,0,0,0,35,5,0,5,40
44233,ACC,03210,  2,"Full Term ... 
06-SEP to 21-DEC",Day,"PRINCIPLES OF ACCTG I RCB & Pre-business students only.
","Van Hook, Andrew P.",MW      1400 1515 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
44098,ACC,03210,  3,"Full Term ... 
06-SEP to 21-DEC",Day,PRINCIPLES OF ACCTG I,STAFF,MW      1530 1645 BUSN 131 (Class),Main,,3,35,0,0,0,35,5,0,5,40
44239,ACC,03210,  4,"Full Term ... 
06-SEP to 21-DEC",Day,"PRINCIPLES OF ACCTG IRCOB and Pre-Business students only.
","Van Hook, Andrew P.",MW      1700 1815 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
44099,ACC,03210,  5,"Full Term ... 
06-SEP to 21-DEC",Day,PRINCIPLES OF ACCTG I,"Halter, Joan W",MW      0930 1045 BUSN 301 (Class),Main,,3,35,0,0,0,35,5,0,5,40
44240,ACC,03210,  6,"Full Term ... 
06-SEP to 21-DEC",Day,"PRINCIPLES OF ACCTG IAccounting & Finance majors only.
","Lysak, Amy Kristin",TR      1400 1515 BUSN 103 (Class),Main,,3,35,0,0,0,35,5,0,5,40
